año,pais,cantidad_conciertos,asistentes_miles
1985,Brasil,10,1380.0
1985,Estados Unidos,1,90.0
1988,Argentina,1,65.0
1990,Argentina,2,140.0
1991,Brasil,9,1500.0
1991,Estados Unidos,22,250.0
1992,Estados Unidos,28,300.0
1993,Argentina,6,405.0
1993,México,3,315.0
1993,Perú,1,55.0
1994,Brasil,1,4200.0
1994,Estados Unidos,3,350.0
1995,Argentina,5,375.0
1995,Brasil,3,450.0
1995,Colombia,5,200.0
1995,México,3,315.0
1995,Perú,1,55.0
1996,Argentina,2,150.0
1996,Brasil,2,240.0
1997,Argentina,4,220.0
1997,Brasil,1,3500.0
1997,México,1,170.0
1998,Argentina,4,300.0
1998,México,2,210.0
1998,Perú,5,250.0
1999,Brasil,5,500.0
1999,Estados Unidos,3,220.0
2001,Argentina,20,800.0
2001,Brasil,7,1200.0
2002,México,5,750.0
2003,Colombia,3,75.0
2004,Argentina,25,1250.0
2004,Brasil,8,1600.0
2005,Brasil,1,1500.0
2005,Estados Unidos,3,1530.0
2006,Brasil,1,1500.0
2006,Colombia,5,350.0
2006,México,6,1260.0
2007,Argentina,8,540.0
2007,Colombia,10,400.0
2007,México,15,1350.0
2007,Perú,10,500.0
2008,Argentina,2,150.0
2008,Brasil,1,50.0
2008,Estados Unidos,3,270.0
2009,Argentina,3,255.0
2009,Brasil,2,120.0
2009,México,1,219.0
2010,Argentina,2,140.0
2010,Colombia,4,480.0
2010,Estados Unidos,3,270.0
2010,México,3,240.0
2010,Perú,12,600.0
2011,Argentina,10,750.0
2011,Brasil,7,700.0
2011,Chile,2,110.0
2011,Colombia,3,60.0
2011,México,2,180.0
2011,Perú,10,550.0
2012,Argentina,11,520.0
2012,Brasil,2,115.0
2012,Chile,2,110.0
2012,Colombia,3,90.0
2012,México,4,425.0
2012,Perú,12,660.0
2013,Argentina,1,60.0
2013,Brasil,9,820.0
2013,Chile,2,120.0
2013,Colombia,3,120.0
2013,Estados Unidos,3,300.0
2013,México,3,300.0
2013,Perú,12,660.0
2014,Argentina,2,120.0
2014,Brasil,2,130.0
2014,Chile,2,160.0
2014,Colombia,3,165.0
2014,Estados Unidos,3,300.0
2014,México,20,1800.0
2014,Perú,15,825.0
2015,Argentina,2,120.0
2015,Brasil,9,865.0
2015,Chile,2,160.0
2015,Colombia,3,210.0
2015,Estados Unidos,3,300.0
2015,México,3,300.0
2015,Perú,15,825.0
2016,Argentina,12,960.0
2016,Brasil,2,180.0
2016,Chile,2,180.0
2016,Colombia,3,225.0
2016,Estados Unidos,4,400.0
2016,México,4,440.0
2016,Perú,18,900.0
2017,Argentina,2,200.0
2017,Brasil,9,895.0
2017,Chile,2,200.0
2017,Colombia,3,240.0
2017,Estados Unidos,4,400.0
2017,México,4,480.0
2017,Perú,18,990.0
2018,Argentina,3,300.0
2018,Brasil,2,210.0
2018,Chile,3,225.0
2018,Colombia,3,255.0
2018,Estados Unidos,4,400.0
2018,México,4,520.0
2018,Perú,20,1100.0
2019,Argentina,3,300.0
2019,Brasil,9,945.0
2019,Chile,3,225.0
2019,Colombia,3,270.0
2019,Estados Unidos,4,400.0
2019,México,4,560.0
2019,Perú,22,1210.0
2020,Argentina,0,0.0
2020,Brasil,0,0.0
2020,Colombia,0,0.0
2020,Estados Unidos,0,0.0
2020,México,0,0.0
2020,Perú,0,0.0
2021,Argentina,15,225.0
2021,Brasil,20,600.0
2021,Colombia,10,200.0
2021,Estados Unidos,4,385.0
2021,México,20,500.0
2021,Perú,8,120.0
2022,Argentina,3,300.0
2022,Brasil,9,945.0
2022,Chile,3,225.0
2022,Colombia,5,425.0
2022,Estados Unidos,4,400.0
2022,México,5,800.0
2022,Perú,18,990.0
2023,Argentina,7,620.0
2023,Brasil,5,410.0
2023,Chile,3,225.0
2023,Colombia,5,450.0
2023,Estados Unidos,4,400.0
2023,México,9,1120.0
2023,Perú,23,1235.0
2024,Argentina,16,1365.0
2024,Brasil,11,2585.0
2024,Chile,3,225.0
2024,Colombia,5,460.0
2024,Estados Unidos,4,460.0
2024,México,18,1480.0
2024,Perú,22,1210.0
