año,pais,tipo_evento,nombre_evento,venue,ciudad,artista_principal,asistentes_estimados,conciertos_o_dias,asistentes_totales_edicion,tipo_acceso,fuente_referencia,notas
1985,Brasil,Festival,Rock in Rio I,Cidade do Rock,Río de Janeiro,Queen / AC/DC / Rod Stewart,1380000,10,1380000,Pago,Wikipedia / Rock in Rio official,Primera edición del festival más grande del mundo; primer gran festival de rock en América Latina
1985,Estados Unidos,Festival,Live Aid - Philadelphia,JFK Stadium,Philadelphia,Led Zeppelin / Bob Dylan,90000,1,90000,Pago,Live Aid archives,Parte del evento global Live Aid simultáneo con Londres
1988,Argentina,Concierto,Amnesty International Tour,Estadio Monumental,Buenos Aires,Sting / Bruce Springsteen,65000,1,65000,Pago,Prensa argentina,"Gira Amnesty; primeros grandes shows internacionales en el país"
1990,Argentina,Concierto,Serious Moonlight Tour (tardío),Estadio Monumental,Buenos Aires,David Bowie,70000,1,70000,Pago,EntradaFan / La Página Millonaria,Show histórico; primera vez de Bowie en Argentina
1990,Argentina,Concierto,Journeyman Tour,Estadio Monumental,Buenos Aires,Eric Clapton,70000,1,70000,Pago,EntradaFan / La Página Millonaria,Primera visita de Clapton a Argentina
1991,Brasil,Festival,Rock in Rio II,Estadio Maracaná,Río de Janeiro,Guns N' Roses / Prince / George Michael,1500000,9,1500000,Pago,Wikipedia / Rock in Rio official,Segunda edición; A-ha rompió récord con 198.000 pagos en una noche
1991,Estados Unidos,Festival,Lollapalooza (gira itinerante),Múltiples ciudades,Chicago / NYC / otros,Jane's Addiction / Nine Inch Nails / Ice-T,250000,22,250000,Pago,Wikipedia Lollapalooza,Primera edición del festival; gira por 22 ciudades de EEUU y Canadá
1992,Estados Unidos,Festival,Lollapalooza 1992,Múltiples ciudades,Chicago y otras,Red Hot Chili Peppers / Pearl Jam / Soundgarden,300000,28,300000,Pago,Wikipedia Lollapalooza,Edición con gran boom del grunge; 28 fechas
1993,Argentina,Concierto,New World Tour,Estadio Monumental,Buenos Aires,Paul McCartney,65000,3,195000,Pago,La Página Millonaria / EntradaFan,Tres noches sold out; primera visita de McCartney a Argentina
1993,Argentina,Concierto,Dangerous World Tour,Estadio Monumental,Buenos Aires,Michael Jackson,70000,3,210000,Pago,La Página Millonaria,Primer show de Jackson en Argentina; tres noches sold out
1993,México,Concierto,Dangerous World Tour,Estadio Azteca,Ciudad de México,Michael Jackson,105000,3,315000,Pago,Prensa mexicana,Jackson en el Azteca; tres fechas históricas
1993,Perú,Concierto,Dangerous World Tour,Estadio Nacional,Lima,Michael Jackson,55000,1,55000,Pago,Prensa peruana,Primera visita de Jackson a Perú
1994,Brasil,Concierto,New Year's Eve - Copacabana,Playa Copacabana,Río de Janeiro,Rod Stewart,4200000,1,4200000,Gratuito,Guinness World Records,Récord Guinness: concierto con mayor asistencia de la historia (pagado y gratuito combinados)
1994,Estados Unidos,Festival,Woodstock 94,Winston Farm,Saugerties NY,Nine Inch Nails / Green Day / Metallica,350000,3,350000,Pago,Wikipedia Woodstock 94,Celebración del 25° aniversario de Woodstock original
1995,Argentina,Concierto,Voodoo Lounge Tour,Estadio Monumental,Buenos Aires,The Rolling Stones,75000,5,375000,Pago,La Página Millonaria / EntradaFan,Cinco noches sold out; primera visita de los Stones a Argentina
1995,Brasil,Concierto,Voodoo Lounge Tour,Estadio Maracaná,Río de Janeiro,The Rolling Stones,150000,3,450000,Pago,Prensa brasileña,Los Stones en el Maracaná
1995,México,Concierto,Voodoo Lounge Tour,Estadio Azteca,Ciudad de México,The Rolling Stones,105000,3,315000,Pago,Prensa mexicana,Primera visita de Stones a México en el Azteca
1995,Colombia,Concierto,Festival de Verano / Conciertos internacionales,El Campín,Bogotá,Artistas varios,40000,5,200000,Pago,Prensa colombiana,Primeros grandes shows internacionales en Colombia post-crisis narco
1995,Perú,Concierto,Voodoo Lounge Tour,Estadio Nacional,Lima,The Rolling Stones,55000,1,55000,Pago,Prensa peruana,Primera visita de los Stones a Perú
1996,Argentina,Concierto,Kontrakultura Tour,Estadio Monumental,Buenos Aires,AC/DC,75000,2,150000,Pago,EntradaFan,Dos fechas sold out de AC/DC
1996,Brasil,Concierto,Kontrakultura Tour,Estadio Maracaná,Río de Janeiro,AC/DC,120000,2,240000,Pago,Prensa brasileña,AC/DC en Brasil
1997,Argentina,Concierto,El Último Concierto,Estadio Monumental,Buenos Aires,Soda Stereo,70000,2,140000,Pago,Prensa argentina / El País,Concierto de despedida de Soda Stereo; histórico para el rock latinoamericano
1997,Argentina,Festival,Personal Fest (primeras ediciones),Estadio Monumental,Buenos Aires,Varios artistas,40000,2,80000,Pago,Prensa argentina,Inicio de los grandes festivales locales en Argentina
1997,México,Concierto,Zócalo gratuito - Café Tacvba,Zócalo CDMX,Ciudad de México,Café Tacvba,170000,1,170000,Gratuito,Prensa mexicana / El Imparcial,Primera banda mexicana en alcanzar 170.000 en el Zócalo
